"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000000003","TSPAN6","ENSG00000000003.13"
"2","ENSG00000000419","DPM1","ENSG00000000419.11"
"3","ENSG00000000457","SCYL3","ENSG00000000457.12"
"4","ENSG00000000460","C1orf112","ENSG00000000460.15"
"5","ENSG00000000938","FGR","ENSG00000000938.11"
"6","ENSG00000000971","CFH","ENSG00000000971.14"
"7","ENSG00000001036","FUCA2","ENSG00000001036.12"
"8","ENSG00000001084","GCLC","ENSG00000001084.9"
"9","ENSG00000001167","NFYA","ENSG00000001167.13"
"10","ENSG00000001460","STPG1","ENSG00000001460.16"
"11","ENSG00000001461","NIPAL3","ENSG00000001461.15"
"12","ENSG00000001497","LAS1L","ENSG00000001497.15"
"13","ENSG00000001561","ENPP4","ENSG00000001561.6"
"14","ENSG00000001617","SEMA3F","ENSG00000001617.10"
"15","ENSG00000001629","ANKIB1","ENSG00000001629.8"
"16","ENSG00000001630","CYP51A1","ENSG00000001630.14"
"17","ENSG00000001631","KRIT1","ENSG00000001631.13"
"18","ENSG00000002016","RAD52","ENSG00000002016.15"
"19","ENSG00000002330","BAD","ENSG00000002330.12"
"20","ENSG00000002549","LAP3","ENSG00000002549.11"
"21","ENSG00000002586","CD99","ENSG00000002586.16"
"22","ENSG00000002587","HS3ST1","ENSG00000002587.8"
"23","ENSG00000002822","MAD1L1","ENSG00000002822.14"
"24","ENSG00000002834","LASP1","ENSG00000002834.16"
"25","ENSG00000002919","SNX11","ENSG00000002919.13"
"26","ENSG00000002933","TMEM176A","ENSG00000002933.6"
"27","ENSG00000003056","M6PR","ENSG00000003056.6"
"28","ENSG00000003096","KLHL13","ENSG00000003096.12"
"29","ENSG00000003137","CYP26B1","ENSG00000003137.7"
"30","ENSG00000003147","ICA1","ENSG00000003147.16"
"31","ENSG00000003249","DBNDD1","ENSG00000003249.12"
"32","ENSG00000003393","ALS2","ENSG00000003393.13"
"33","ENSG00000003400","CASP10","ENSG00000003400.13"
"34","ENSG00000003402","CFLAR","ENSG00000003402.18"
"35","ENSG00000003436","TFPI","ENSG00000003436.13"
"36","ENSG00000003509","NDUFAF7","ENSG00000003509.14"
"37","ENSG00000003756","RBM5","ENSG00000003756.15"
"38","ENSG00000003987","MTMR7","ENSG00000003987.12"
"39","ENSG00000003989","SLC7A2","ENSG00000003989.15"
"40","ENSG00000004059","ARF5","ENSG00000004059.9"
"41","ENSG00000004139","SARM1","ENSG00000004139.12"
"42","ENSG00000004142","POLDIP2","ENSG00000004142.10"
"43","ENSG00000004399","PLXND1","ENSG00000004399.11"
"44","ENSG00000004455","AK2","ENSG00000004455.15"
"45","ENSG00000004468","CD38","ENSG00000004468.11"
"46","ENSG00000004478","FKBP4","ENSG00000004478.7"
"47","ENSG00000004487","KDM1A","ENSG00000004487.14"
"48","ENSG00000004534","RBM6","ENSG00000004534.13"
"49","ENSG00000004660","CAMKK1","ENSG00000004660.13"
"50","ENSG00000004700","RECQL","ENSG00000004700.14"
"51","ENSG00000004766","VPS50","ENSG00000004766.14"
"52","ENSG00000004776","HSPB6","ENSG00000004776.10"
"53","ENSG00000004777","ARHGAP33","ENSG00000004777.17"
"54","ENSG00000004779","NDUFAB1","ENSG00000004779.8"
"55","ENSG00000004799","PDK4","ENSG00000004799.7"
"56","ENSG00000004838","ZMYND10","ENSG00000004838.12"
"57","ENSG00000004864","SLC25A13","ENSG00000004864.12"
